timestamp,run_id,kind,scenario,phase,duration_nanos,duration_millis,preview_type,tree_preview_type,has_path,solved,ticks,task_state
"2026-05-31T03:11:07.455319100Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","cyclic-overlapping","total","997775800","997","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:11:07.697377500Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","large-number-chain","solveAndCalculatePreview","137167500","137","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:11:07.699391600Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","large-number-chain","solveAndCalculateTreePreview","98744300","98","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:11:07.701262Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","large-number-chain","total","235911800","235","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:11:07.925824500Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","section","sections-acyclic","initialization","1562000","1","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:11:07.927332100Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","section","sections-acyclic","solve","205487100","205","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:11:07.927332100Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","section","sections-acyclic","desanitize","2944700","2","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:11:07.929368200Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","section","sections-acyclic","preview","2360800","2","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:11:07.929368200Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","section","sections-acyclic","treePreview","889700","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:11:07.933548500Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","section","sections-acyclic","total","213244300","213","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:11:08.058641700Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","section","sections-cyclic-ring","initialization","700400","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:11:08.058641700Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","section","sections-cyclic-ring","solve","120614700","120","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:11:08.063932Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","section","sections-cyclic-ring","desanitize","444700","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:11:08.064620Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","section","sections-cyclic-ring","preview","554000","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:11:08.067568200Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","section","sections-cyclic-ring","treePreview","259500","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:11:08.069097300Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","section","sections-cyclic-ring","total","122573300","122","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:11:08.141991200Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","section","sections-many-small-cycles","initialization","806400","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:11:08.143689500Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","section","sections-many-small-cycles","solve","65731700","65","SUCCESS","SUCCESS","","true","",""
